ft_case_id,transaction_id,account_num,loss_dt,reported_dt,fraud_type_cd,gross_fraud_amt,merchant_credit_amt,net_fraud_amt,chargeback_amt,chargeback_cnt,total_transaction_cnt,external_status_desc,case_narrative,loss_type_desc
case_0000883,txn_00029274,acct_0003293,2026-03-30,2026-04-03,BUS,226.98,58.49,168.49,185.98,2,3,Fraud Alert - Transaction Declined,"A customer in Brazil flagged a $400 charge at a local supermarket as fraudulent, linked to a lost card reported during their travels.",Recovered
case_0000884,txn_00029281,acct_0004454,2026-02-27,2026-02-27,LST,218.1,57.18,160.92,98.24,3,3,Confirmed Fraud - Refund Process Initiated,"A $1,200 purchase at a luxury goods website was flagged as fraudulent, linked to a stolen card reported by a resident in New York.",Recovered
case_0000885,txn_00029308,acct_0001837,2026-03-13,2026-03-15,ATO,285.7,160.06,125.64,165.61,2,11,Fraud Case Resolved - Account Restored,"Account takeover in Colorado; $2,000 spent on airline tickets after hackers gained access through social media.",Net
case_0000886,txn_00029311,acct_0000019,2026-03-14,2026-03-14,CTF,6.49,1.81,4.68,3.06,1,7,Confirmed Fraud - Refund Process Initiated,"A cardholder in Germany reported a lost card after noticing a $250 charge at a local bar in Miami, leading to an immediate alert.",Recovered
case_0000887,txn_00029314,acct_0002744,2026-01-20,2026-01-20,BUS,49.89,16.34,33.55,28.78,0,11,Fraudulent Activity - Account Suspended,"SIM swap detected in New York; fraudster accessed account and withdrew $1,200 in cash at an ATM within minutes.",Recovered
case_0000888,txn_00029452,acct_0001434,2026-03-26,2026-03-28,BUS,171.32,39.68,131.64,18.73,1,1,Potential Fraud - Customer Contacted,"Analyzed a $2,800 luxury hotel booking in Las Vegas, suggesting possible friendly fraud due to conflicting cardholder statements.",Gross
case_0000889,txn_00029460,acct_0003972,2026-01-24,2026-02-06,ATO,769.13,130.92,638.21,306.29,3,11,Confirmed Fraud - Chargeback Filed,"A suspicious $1,800 transaction in Vancouver led to the discovery of a skimming device at a popular tourist ATM.",Gross
case_0000890,txn_00029547,acct_0004798,2026-03-19,2026-03-19,CNP,338.81,70.48,268.33,139.57,1,1,Fraud Case Resolved - Account Restored,"A cardholder in Illinois flagged a $450 charge at a restaurant in Thailand as fraudulent, linked to a card reported lost during their vacation.",Net
case_0000891,txn_00029554,acct_0004735,2026-03-18,2026-03-30,BUS,45.22,20.07,25.15,14.22,3,3,Confirmed Fraud - Refund Process Initiated,"Identified unauthorized $120 transaction for food delivery service in Singapore, linked to a compromised card in a recent data breach.",Recovered
case_0000892,txn_00029557,acct_0004722,2026-01-29,2026-02-06,CTF,1255.9,490.54,765.36,241.7,0,5,Fraud Confirmed - No Chargeback Filed,"A $1,500 transaction at a restaurant in San Francisco was flagged; linked to a skimming device found in an outdoor payment terminal.",Net
case_0000893,txn_00029573,acct_0004770,2026-01-31,2026-02-03,CTF,462.15,17.4,444.75,314.04,2,5,Fraudulent Transaction - Account Closed,"UK resident experienced account takeover; $3,000 in luxury goods purchased online after personal information was compromised via data breach.",Recovered
case_0000894,txn_00029576,acct_0003391,2026-01-30,2026-02-01,CTF,94.62,51.21,43.41,83.47,3,9,Fraud Alert - Transaction Declined,"The investigation revealed a lost card was used in a $400 online transaction from a UK website, flagged by the customer in New York.",Recovered
case_0000895,txn_00029586,acct_0004972,2026-03-25,2026-04-04,CNP,273.39,16.31,257.08,100.12,1,5,Fraud Case Resolved - Account Restored,"Investigator flagged a $3,300 online purchase from a counterfeit card; linked to a skimming operation in a neighboring state.",Recovered
case_0000896,txn_00029591,acct_0001033,2026-02-18,2026-02-20,CTF,868.07,111.89,756.18,117.6,1,5,Fraudulent Transaction - Account Closed,"Reviewed a $2,000 transaction for high-end fashion in the UK, suspected to be part of a first-party fraud pattern.",Net
case_0000897,txn_00029601,acct_0000648,2026-01-05,2026-01-20,BUS,61.85,23.36,38.49,37.57,1,11,Fraud Confirmed - No Chargeback Filed,"Fraud detected in Russia; $1,000 stolen from a credit card following an account takeover.",Recovered
case_0000898,txn_00029612,acct_0004557,2026-02-17,2026-03-07,ATO,492.11,117.04,375.07,439.1,3,3,Fraudulent Transaction - Account Closed,"A $2,800 overseas charge from a counterfeit card in Dubai prompted an investigation into a local skimming operation.",Recovered
case_0000899,txn_00029657,acct_0004063,2026-02-04,2026-02-15,BUS,430.51,46.44,384.07,387.29,1,1,Fraudulent Transaction - Account Closed,"SIM swap incident in the Netherlands; $3,500 withdrawn from ATMs after victim's phone number was hijacked.",Gross
case_0000900,txn_00029709,acct_0004527,2026-02-19,2026-03-04,BUS,279.15,92.54,186.61,161.19,1,8,Fraud Investigation - Awaiting Customer Response,SIM swap case in Ireland; $900 lost from banking account before the victim could react.,Gross
case_0000901,txn_00029735,acct_0000082,2026-01-12,2026-01-16,ATO,32.78,6.71,26.07,20.24,3,8,Confirmed Fraud - Chargeback Filed,A fraudulent charge of $800 at a casino in Las Vegas was flagged against a lost card reported by a customer visiting from Canada.,Gross
case_0000902,txn_00029755,acct_0000528,2026-03-29,2026-04-03,CTF,51.09,25.49,25.6,27.95,1,5,Fraud Confirmed - No Chargeback Filed,"A customer in New Jersey reported a lost card, later finding unauthorized charges totaling $400 at an online retailer based in Canada.",Recovered
case_0000903,txn_00029775,acct_0001948,2026-02-18,2026-03-05,CTF,332.43,192.47,139.96,161.17,3,9,Potential Fraud - Customer Contacted,"A $1,500 transaction at a restaurant in San Francisco was flagged; linked to a skimming device found in an outdoor payment terminal.",Gross
case_0000904,txn_00029779,acct_0003726,2026-03-01,2026-03-15,LST,29.13,0.21,28.92,25.22,0,10,Potential Fraud - Customer Contacted,"Reported $400 purchase of electronics from a U.S. retailer, traced to an overseas IP address in Nigeria, indicating potential carding activity.",Recovered
case_0000905,txn_00029791,acct_0002869,2026-03-09,2026-03-25,CNP,1928.94,225.27,1703.67,1214.69,3,4,Fraud Case Resolved - Account Restored,"A $3,500 overseas purchase in Tokyo traced back to a counterfeit card, linked to a phishing scheme targeting travelers.",Gross
case_0000906,txn_00029797,acct_0004366,2026-01-25,2026-02-14,ATO,72.23,0.91,71.32,9.08,1,3,Potential Fraud - Customer Contacted,"Detected $1,800 worth of fraudulent travel bookings in Europe, linked to a first-party fraud case with multiple chargebacks.",Net
case_0000907,txn_00029822,acct_0003681,2026-03-16,2026-04-03,CTF,23.41,12.99,10.42,4.75,3,1,Fraud Case Resolved - Account Restored,"A $350 charge at a bar in the Bahamas was linked to a stolen card reported by a traveler from New York, who lost it during the trip.",Gross
case_0000908,txn_00029838,acct_0000236,2026-02-11,2026-02-11,FPF,965.43,478.84,486.59,845.35,1,4,Fraud Suspected - Investigation Ongoing,"Identified a $3,200 purchase of electronics in Brazil, linked to a bust-out operation using compromised personal information.",Recovered
case_0000909,txn_00029885,acct_0003270,2026-03-14,2026-03-27,CTF,178.22,67.02,111.2,89.08,2,5,Fraud Case Resolved - Account Restored,"Detected a $3,500 wire transfer to an overseas account, tied to a bust-out operation in South America.",Recovered
case_0000910,txn_00029932,acct_0002727,2026-03-21,2026-04-05,FPF,195.13,103.19,91.94,174.42,3,8,Fraud Investigation - Awaiting Customer Response,"Flagged $200 charge for software subscription in the Philippines, linked to a compromised account in a recent global breach.",Gross
case_0000911,txn_00029973,acct_0001276,2026-02-28,2026-03-14,LST,52.02,11.47,40.55,24.01,0,10,Confirmed Fraud - Chargeback Filed,"A stolen card was used for a $900 purchase at a tech store in Japan, reported lost by a traveler from San Francisco.",Net
case_0000912,txn_00030013,acct_0001289,2026-01-01,2026-01-20,BUS,81.94,36.52,45.42,66.89,2,3,Confirmed Fraud - Refund Process Initiated,Detected a $600 skimming incident at a hotel in Las Vegas; several guests reported unauthorized transactions on their accounts.,Recovered
case_0000913,txn_00030052,acct_0002017,2026-02-09,2026-02-27,CNP,723.24,205.49,517.75,116.4,1,7,Fraudulent Transaction - Account Closed,"A customer in Texas reported a $500 charge at an online marketplace as fraudulent, related to a card lost during an overseas trip.",Gross
case_0000914,txn_00030102,acct_0001943,2026-02-26,2026-03-13,LST,55.12,13.8,41.32,11.24,1,10,Fraud Review Completed - No Action Needed,An investigation into a $450 charge at a boutique in Spain revealed it was made using a card reported lost by a customer in Texas.,Recovered
case_0000915,txn_00030174,acct_0004281,2026-02-19,2026-03-03,ATO,429.13,121.56,307.57,15.95,2,10,Fraud Case Resolved - Account Restored,"Fraud detected in Brazil; account takeover led to $2,200 in unauthorized purchases at local electronics stores.",Net
case_0000916,txn_00030176,acct_0000350,2026-03-05,2026-03-12,ATO,810.23,265.46,544.77,660.3,3,8,Suspicious Activity - Temporary Hold Placed,"Found $90 fraudulent charge for hotel booking in Brazil, linked to a cardholder's information stolen during a public Wi-Fi session.",Net
case_0000917,txn_00030237,acct_0003798,2026-01-10,2026-01-19,CNP,103.57,11.78,91.79,1.38,3,3,Confirmed Fraud - Refund Process Initiated,A $200 charge at a fast-food chain in New Jersey was traced back to a stolen card reported by a customer vacationing in Hawaii.,Gross
case_0000918,txn_00030256,acct_0004463,2026-03-13,2026-03-16,LST,131.47,6.06,125.41,23.29,1,5,Fraud Investigation - Awaiting Customer Response,"Investigation launched after a $3,600 overseas purchase in Hong Kong flagged as counterfeit; card traced back to a data breach.",Net
case_0000919,txn_00030264,acct_0004129,2026-02-19,2026-02-19,BUS,48.2,5.79,42.41,22.64,1,1,Fraud Alert - Transaction Declined,"A stolen card was used for a $450 purchase at a hotel in Dubai, reported lost by a cardholder from New York shortly before the charge.",Net
case_0000920,txn_00030299,acct_0004633,2026-03-27,2026-03-28,LST,236.23,122.03,114.2,195.75,0,8,Confirmed Fraud - Refund Process Initiated,"A cardholder in Illinois flagged a $450 charge at a restaurant in Thailand as fraudulent, linked to a card reported lost during their vacation.",Recovered
case_0000921,txn_00030307,acct_0001401,2026-03-07,2026-03-13,CTF,214.45,92.75,121.7,188.67,3,5,Potential Fraud - Customer Contacted,SIM swap incident in Germany; unauthorized access to banking app resulted in a $900 transfer to an overseas account.,Recovered
case_0000922,txn_00030342,acct_0002943,2026-01-09,2026-01-27,FPF,52.84,14.58,38.26,4.87,3,7,Potential Fraud - Customer Contacted,"A $1,200 purchase at a luxury goods website was flagged as fraudulent, linked to a stolen card reported by a resident in New York.",Recovered
case_0000923,txn_00030349,acct_0004028,2026-02-20,2026-03-07,ATO,44.83,15.16,29.67,31.8,2,3,Suspicious Activity - Temporary Hold Placed,"Fraudulent SIM swap reported in Thailand; $1,600 transferred to an unknown account within minutes.",Gross
case_0000924,txn_00030376,acct_0001226,2026-01-28,2026-01-28,BUS,99.4,24.35,75.05,53.08,2,5,Confirmed Fraud - Refund Process Initiated,"Fraud alert in Russia; $2,800 stolen after an account takeover led to multiple unauthorized withdrawals.",Gross
case_0000925,txn_00030429,acct_0001338,2026-01-20,2026-01-24,LST,69.94,7,62.94,59.54,3,9,Fraud Investigation - Awaiting Customer Response,"A $2,800 overseas charge from a counterfeit card in Dubai prompted an investigation into a local skimming operation.",Gross
case_0000926,txn_00030464,acct_0000396,2026-03-13,2026-03-18,CTF,78.99,9.04,69.95,33.19,0,1,Confirmed Fraud - Chargeback Filed,"A customer in Brazil flagged a $400 charge at a local supermarket as fraudulent, linked to a lost card reported during their travels.",Net
case_0000927,txn_00030470,acct_0004666,2026-02-17,2026-02-28,CTF,245.71,90.5,155.21,102.08,0,10,Fraudulent Activity - Account Suspended,"A stolen card was used for a $900 purchase at a tech store in Japan, reported lost by a traveler from San Francisco.",Net
case_0000928,txn_00030527,acct_0003018,2026-02-18,2026-02-28,LST,451.5,92.02,359.48,237.26,2,7,Potential Fraud - Customer Contacted,An investigation into a $450 charge at a boutique in Spain revealed it was made using a card reported lost by a customer in Texas.,Recovered
case_0000929,txn_00030572,acct_0001106,2026-03-31,2026-04-12,BUS,614.45,331.92,282.53,540.38,3,2,Confirmed Fraud - Refund Process Initiated,"Found $80 charge for digital subscription service in South Africa, linked to a cardholder's account breached during a public Wi-Fi session.",Gross
case_0000930,txn_00030612,acct_0004998,2026-01-30,2026-02-16,FPF,236.99,92.64,144.35,116.14,2,7,Fraud Confirmed - No Chargeback Filed,"A $1,100 transaction in Melbourne confirmed as fraudulent; linked to a skimming device found at a popular shopping precinct.",Recovered
case_0000931,txn_00030616,acct_0004150,2026-03-16,2026-03-31,LST,583.21,261.48,321.73,335.6,2,3,Suspicious Activity - Temporary Hold Placed,"Detected a $5,000 fraudulent charge from an online retailer; card traced back to a skimming operation in Las Vegas.",Recovered
case_0000932,txn_00030655,acct_0000455,2026-02-20,2026-03-02,CNP,187.22,104.4,82.82,64,0,4,Fraud Alert - Transaction Declined,"A $950 transaction flagged in New Orleans, linked to a local skimming operation that affected several cardholders in the area.",Net
case_0000933,txn_00030713,acct_0000817,2026-01-20,2026-01-27,ATO,344.35,27.58,316.77,155.98,0,1,Suspicious Activity - Temporary Hold Placed,"A $2,800 overseas charge from a counterfeit card in Dubai prompted an investigation into a local skimming operation.",Net
case_0000934,txn_00030738,acct_0003425,2026-02-17,2026-02-18,CNP,398.27,16.42,381.85,96.89,0,7,Confirmed Fraud - Chargeback Filed,"Flagged fraudulent $75 subscription renewal on a streaming service in Australia, traced back to a card used in a recent data breach.",Recovered
case_0000935,txn_00030758,acct_0000763,2026-01-15,2026-01-18,CTF,44.54,16.86,27.68,18.67,1,2,Suspicious Activity - Temporary Hold Placed,"A $1,200 purchase at a luxury goods website was flagged as fraudulent, linked to a stolen card reported by a resident in New York.",Gross
case_0000936,txn_00030763,acct_0002661,2026-02-28,2026-03-13,BUS,20.18,10.36,9.82,7.5,3,6,Fraud Investigation - Awaiting Customer Response,"Identified a $4,500 withdrawal from an ATM in Dubai, connected to a bust-out scheme involving compromised personal information.",Net
case_0000937,txn_00030793,acct_0004877,2026-03-14,2026-03-27,FPF,72.1,35.28,36.82,59.71,2,3,Fraud Investigation - Awaiting Customer Response,A suspicious $300 transaction at a restaurant in Paris was traced back to a stolen card reported by a customer living in California.,Gross
case_0000938,txn_00030813,acct_0000542,2026-01-19,2026-02-06,LST,20.1,8.05,12.05,11.95,1,11,Confirmed Fraud - Chargeback Filed,"UK resident experienced account takeover; $3,000 in luxury goods purchased online after personal information was compromised via data breach.",Gross
case_0000939,txn_00030834,acct_0002510,2026-03-31,2026-04-11,ATO,336.27,42.63,293.64,236.93,0,10,Fraud Suspected - Investigation Ongoing,Detected a $500 transaction in Atlanta from a counterfeit card; linked to a skimming device found on a nearby ATM.,Recovered
case_0000940,txn_00030877,acct_0003118,2026-02-19,2026-02-20,LST,149.39,51.75,97.64,7.98,1,1,Fraud Review Completed - No Action Needed,"SIM swap incident in Sweden; $1,500 transferred to a fraudulent account after successful takeover.",Gross
case_0000941,txn_00030901,acct_0002728,2026-02-19,2026-03-11,BUS,128.24,58.17,70.07,73.91,2,9,Fraud Suspected - Investigation Ongoing,"Uncovered $175 purchase of sports equipment from an e-commerce site in Australia, associated with a credit card reported stolen in the U.S.",Gross
case_0000942,txn_00030910,acct_0004953,2026-01-19,2026-01-27,BUS,98.06,0.63,97.43,85.02,3,10,Fraud Suspected - Investigation Ongoing,"A $2,800 overseas charge from a counterfeit card in Dubai prompted an investigation into a local skimming operation.",Gross
case_0000943,txn_00030917,acct_0003739,2026-02-09,2026-02-23,FPF,434.32,179.42,254.9,58.72,2,6,Potential Fraud - Customer Contacted,"Found $150 charge for digital downloads on a site in Italy, originating from a stolen card in the U.S., indicating possible identity theft.",Recovered
case_0000944,txn_00030926,acct_0001974,2026-01-16,2026-01-28,CTF,86.89,18.6,68.29,11.43,2,11,Fraudulent Activity - Account Suspended,"Reviewed a $1,900 hotel stay in France, suspected to be part of a first-party fraud case with conflicting cardholder claims.",Gross
case_0000945,txn_00030939,acct_0002322,2026-03-16,2026-04-04,ATO,110.13,19.37,90.76,88.32,1,7,Fraudulent Activity - Account Suspended,"Detected a $3,000 purchase of sporting goods in Canada, linked to a bust-out scheme with forged identification presented.",Recovered
case_0000946,txn_00031084,acct_0004635,2026-02-16,2026-02-23,CTF,774.28,376.58,397.7,661.17,0,11,Fraud Confirmed - No Chargeback Filed,"Identified unauthorized $80 e-commerce transaction for clothing in Canada, originating from a card linked to a known fraud ring in the U.S.",Gross
case_0000947,txn_00031113,acct_0001274,2026-03-11,2026-03-24,ATO,3247.69,513.83,2733.86,2189.73,2,5,Fraudulent Transaction - Account Closed,"Investigation launched after a $3,600 overseas purchase in Hong Kong flagged as counterfeit; card traced back to a data breach.",Net
case_0000948,txn_00031146,acct_0001804,2026-02-21,2026-03-08,LST,122.21,2.45,119.76,80,0,10,Suspicious Activity - Temporary Hold Placed,"SIM swap case in Spain; $2,200 lost to fraudulent investment scheme after access gained to personal accounts.",Net
case_0000949,txn_00031175,acct_0001599,2026-03-06,2026-03-20,LST,26.53,4.15,22.38,16.16,3,5,Confirmed Fraud - Refund Process Initiated,"Identified a $3,200 purchase of electronics in Brazil, linked to a bust-out operation using compromised personal information.",Gross
case_0000950,txn_00031193,acct_0003714,2026-03-01,2026-03-06,ATO,268.91,58.86,210.05,234.15,3,8,Confirmed Fraud - Chargeback Filed,"A cardholder in Florida flagged a $700 transaction in a local shop as fraudulent, linked to a card reported lost while vacationing in the Bahamas.",Recovered
case_0000951,txn_00031214,acct_0000562,2026-01-21,2026-02-05,FPF,130.95,44.01,86.94,8.89,1,10,Confirmed Fraud - Chargeback Filed,"Flagged unauthorized $120 transaction for concert tickets on a site in the Netherlands, originating from a compromised account in the U.K.",Net
case_0000952,txn_00031244,acct_0001591,2026-03-31,2026-04-07,ATO,201.46,24.57,176.89,43.4,2,4,Fraudulent Activity - Account Suspended,"Analyzed a $3,200 transaction at a luxury goods store in New York, indicating a possible friendly fraud attempt by the cardholder.",Gross
case_0000953,txn_00031279,acct_0002184,2026-02-03,2026-02-06,LST,926.07,301.92,624.15,613.42,2,3,Fraud Review Completed - No Action Needed,"A $3,500 overseas purchase in Tokyo traced back to a counterfeit card, linked to a phishing scheme targeting travelers.",Net
case_0000954,txn_00031296,acct_0004239,2026-03-21,2026-04-08,BUS,414.84,102.74,312.1,22.23,2,11,Fraudulent Activity - Account Suspended,"Identified a $4,500 withdrawal from an ATM in Dubai, connected to a bust-out scheme involving compromised personal information.",Recovered
case_0000955,txn_00031344,acct_0003758,2026-03-19,2026-03-19,ATO,92.98,9.76,83.22,24.79,1,9,Fraud Case Resolved - Account Restored,"Uncovered a $1,500 charge for online gaming subscriptions in South Korea, attributed to a friendly fraud case with numerous disputes.",Net
case_0000956,txn_00031357,acct_0003759,2026-02-09,2026-02-18,LST,438.51,209.25,229.26,275.24,0,6,Fraud Confirmed - No Chargeback Filed,A $200 charge at a mall in California was linked to a stolen card reported by a customer who lost it while traveling abroad.,Gross
case_0000957,txn_00031378,acct_0002692,2026-03-13,2026-03-18,BUS,64.02,17.56,46.46,47.76,1,10,Fraud Confirmed - No Chargeback Filed,"Victim in Chile reported account takeover; $1,200 in digital currency stolen through compromised credentials.",Net
case_0000958,txn_00031392,acct_0002042,2026-02-19,2026-02-27,ATO,14.99,7.11,7.88,13.27,3,2,Fraud Alert - Transaction Declined,"A $1,200 transaction flagged in Phoenix as suspicious; linked to skimming operations targeting tourists at local attractions.",Net
case_0000959,txn_00031404,acct_0001533,2026-01-19,2026-01-23,CNP,93.24,43.74,49.5,40.42,0,11,Potential Fraud - Customer Contacted,A $900 charge in Amsterdam linked to a counterfeit card; associated with a major skimming incident reported by multiple victims.,Gross
case_0000960,txn_00031418,acct_0000308,2026-03-12,2026-03-31,BUS,232.78,131.7,101.08,22.42,3,3,Fraud Investigation - Awaiting Customer Response,"Found $90 fraudulent charge for hotel booking in Brazil, linked to a cardholder's information stolen during a public Wi-Fi session.",Gross
case_0000961,txn_00031463,acct_0000801,2026-03-25,2026-04-11,FPF,360.33,198.06,162.27,307.24,1,7,Fraud Review Completed - No Action Needed,"Fraudulent SIM swap in Italy; $1,200 drained from the victim’s savings account within hours of the incident.",Gross
case_0000962,txn_00031525,acct_0003647,2026-03-14,2026-03-22,CTF,136.51,74.15,62.36,115.2,3,8,Confirmed Fraud - Refund Process Initiated,Victim in Saudi Arabia reported a SIM swap; $800 drained via online banking transactions.,Recovered
case_0000963,txn_00031632,acct_0003463,2026-01-20,2026-02-01,LST,158.8,47.7,111.1,126,2,8,Fraud Suspected - Investigation Ongoing,"Found $150 charge for digital downloads on a site in Italy, originating from a stolen card in the U.S., indicating possible identity theft.",Gross
case_0000964,txn_00031649,acct_0001903,2026-02-08,2026-02-15,BUS,1002.6,370.4,632.2,390.41,2,6,Fraud Investigation - Awaiting Customer Response,"Found $150 charge for digital downloads on a site in Italy, originating from a stolen card in the U.S., indicating possible identity theft.",Net
case_0000965,txn_00031651,acct_0002877,2026-03-27,2026-04-02,CTF,379.91,94.88,285.03,290.46,0,4,Fraudulent Transaction - Account Closed,"Investigation initiated for $250 charge on travel site in New Zealand, originating from a card reported lost in the U.K.",Gross
case_0000966,txn_00031677,acct_0004854,2026-03-13,2026-03-15,LST,43.15,1.12,42.03,23.93,2,3,Fraud Case Resolved - Account Restored,"Found unauthorized $450 purchase of luxury handbags from a site in France, linked to a card involved in multiple overseas transactions.",Recovered
case_0000967,txn_00031696,acct_0003677,2026-03-06,2026-03-13,ATO,69.85,16.5,53.35,32.97,3,7,Confirmed Fraud - Refund Process Initiated,"A stolen card was used for a $900 purchase at a tech store in Japan, reported lost by a traveler from San Francisco.",Gross
case_0000968,txn_00031740,acct_0001739,2026-01-01,2026-01-14,CNP,254.81,113.74,141.07,70.97,1,6,Fraud Review Completed - No Action Needed,"Identified unauthorized $80 e-commerce transaction for clothing in Canada, originating from a card linked to a known fraud ring in the U.S.",Gross
case_0000969,txn_00031741,acct_0000753,2026-02-18,2026-03-08,CTF,165.87,43.33,122.54,28.07,1,3,Fraud Review Completed - No Action Needed,"Identified suspicious $200 charge for online courses from a U.S. site, originating from a card reported compromised in a data leak.",Net
case_0000970,txn_00031749,acct_0004104,2026-02-03,2026-02-15,LST,2004.63,256.48,1748.15,1755.56,2,4,Fraud Suspected - Investigation Ongoing,"Identified suspicious $300 charge for fashion items on a UK website, linked to multiple accounts registered with the same email in the U.S.",Recovered
case_0000971,txn_00031764,acct_0000400,2026-02-13,2026-02-21,CTF,161.52,89.67,71.85,116.35,1,2,Potential Fraud - Customer Contacted,"Uncovered a $1,000 charge for digital subscriptions in Australia, traced back to a bust-out operation using false identification.",Gross
case_0000972,txn_00031765,acct_0001059,2026-03-21,2026-04-04,LST,335.71,17.46,318.25,110.99,0,11,Confirmed Fraud - Chargeback Filed,"Investigation initiated for $250 e-commerce purchase of cosmetics from an online store in Spain, traced to a compromised credit card in Mexico.",Gross
case_0000973,txn_00031785,acct_0000117,2026-01-12,2026-02-01,ATO,215.2,115.14,100.06,179.55,1,4,Fraud Case Resolved - Account Restored,"Detected $500 online purchase for home appliances from a retailer in Germany, originating from a card reported stolen in Canada.",Net
case_0000974,txn_00031877,acct_0000187,2026-03-16,2026-04-05,CNP,328.37,56.01,272.36,102.79,3,4,Fraud Review Completed - No Action Needed,"Identified unauthorized $80 e-commerce transaction for clothing in Canada, originating from a card linked to a known fraud ring in the U.S.",Net
case_0000975,txn_00031886,acct_0000501,2026-02-20,2026-03-06,LST,180.78,38.25,142.53,106.58,3,5,Fraud Confirmed - No Chargeback Filed,A $200 charge at a fast-food chain in New Jersey was traced back to a stolen card reported by a customer vacationing in Hawaii.,Gross
case_0000976,txn_00031961,acct_0002568,2026-03-17,2026-04-04,LST,59.14,0.37,58.77,39.7,3,11,Fraud Confirmed - No Chargeback Filed,"After losing their card, a customer in Florida found unauthorized charges totaling $500 at multiple stores in Mexico within 48 hours.",Recovered
case_0000977,txn_00032032,acct_0003800,2026-02-12,2026-02-26,LST,106.08,3.08,103,7.07,2,9,Fraudulent Transaction - Account Closed,"Detected unauthorized online purchase of $150 from an electronics retailer in Germany, linked to a compromised account in the U.S.",Recovered
case_0000978,txn_00032076,acct_0004045,2026-02-20,2026-02-25,CTF,134.32,73.86,60.46,119.43,0,1,Fraudulent Transaction - Account Closed,"Examined a $700 online gaming purchase in Canada, attributed to friendly fraud with multiple disputes from the cardholder.",Recovered
case_0000979,txn_00032192,acct_0000356,2026-03-14,2026-04-02,CTF,102.34,7.05,95.29,83.03,0,10,Fraudulent Transaction - Account Closed,"A $2,100 transaction in Houston confirmed as counterfeit; investigation led to a local skimming operation targeting debit card users.",Net
case_0000980,txn_00032220,acct_0004692,2026-02-07,2026-02-27,ATO,238.3,44.73,193.57,72.66,1,7,Fraud Investigation - Awaiting Customer Response,"Detected a $3,200 overseas purchase from a counterfeit card in London, traced to an online data breach affecting multiple accounts.",Net
case_0000981,txn_00032312,acct_0003048,2026-02-17,2026-02-28,CTF,30.34,12.91,17.43,4.19,1,2,Fraud Investigation - Awaiting Customer Response,"Identified suspicious $200 charge for online courses from a U.S. site, originating from a card reported compromised in a data leak.",Recovered
case_0000982,txn_00032322,acct_0002885,2026-01-06,2026-01-15,BUS,146.74,28.74,118,103.32,1,5,Confirmed Fraud - Chargeback Filed,"Detected unauthorized online purchase of $150 from an electronics retailer in Germany, linked to a compromised account in the U.S.",Net
case_0000983,txn_00032326,acct_0002694,2026-01-16,2026-01-27,BUS,16.61,3.57,13.04,10.67,2,6,Fraud Confirmed - No Chargeback Filed,"The investigation revealed a lost card was used in a $400 online transaction from a UK website, flagged by the customer in New York.",Gross
case_0000984,txn_00032436,acct_0000787,2026-01-17,2026-02-01,BUS,200.16,42.27,157.89,102.03,1,11,Fraud Alert - Transaction Declined,"SIM swap case in Spain; $2,200 lost to fraudulent investment scheme after access gained to personal accounts.",Net
case_0000985,txn_00032451,acct_0001541,2026-03-14,2026-03-22,CTF,225.34,83.87,141.47,37.77,3,6,Fraud Case Resolved - Account Restored,SIM swap incident in Germany; unauthorized access to banking app resulted in a $900 transfer to an overseas account.,Recovered
case_0000986,txn_00032476,acct_0003457,2026-03-25,2026-03-31,BUS,1252.88,420.34,832.54,379.31,0,2,Suspicious Activity - Temporary Hold Placed,"Identified unauthorized $120 transaction for food delivery service in Singapore, linked to a compromised card in a recent data breach.",Net
case_0000987,txn_00032490,acct_0002202,2026-03-13,2026-03-29,CTF,800.73,345.7,455.03,159.49,3,9,Confirmed Fraud - Chargeback Filed,"SIM swap detected in France; victim lost $2,500 in investment funds before alerting authorities.",Recovered
case_0000988,txn_00032516,acct_0001485,2026-03-30,2026-04-08,FPF,620.76,340.97,279.79,396.82,0,3,Fraudulent Transaction - Account Closed,"SIM swap detected in New York; fraudster accessed account and withdrew $1,200 in cash at an ATM within minutes.",Gross
case_0000989,txn_00032582,acct_0002454,2026-03-14,2026-04-01,LST,96.08,36.83,59.25,71.68,3,5,Fraud Confirmed - No Chargeback Filed,"The investigation revealed a lost card was used in a $400 online transaction from a UK website, flagged by the customer in New York.",Net
case_0000990,txn_00032591,acct_0003619,2026-01-16,2026-02-05,CTF,115.91,23.88,92.03,12.59,2,10,Fraud Case Resolved - Account Restored,"A suspicious $1,800 transaction in Vancouver led to the discovery of a skimming device at a popular tourist ATM.",Recovered
case_0000991,txn_00032608,acct_0001777,2026-03-08,2026-03-24,ATO,33.11,8.09,25.02,8.84,1,10,Fraud Review Completed - No Action Needed,An investigation into a $450 charge at a boutique in Spain revealed it was made using a card reported lost by a customer in Texas.,Gross
case_0000992,txn_00032647,acct_0000403,2026-02-08,2026-02-24,CTF,680.78,224.48,456.3,261.01,0,6,Suspicious Activity - Temporary Hold Placed,"Investigation launched after a $4,500 purchase in Paris flagged as counterfeit; cardholder reported previous unauthorized transactions.",Net
case_0000993,txn_00032736,acct_0003416,2026-02-20,2026-03-10,ATO,495.82,274.86,220.96,75.07,1,6,Fraud Investigation - Awaiting Customer Response,"Identified unauthorized $80 e-commerce transaction for clothing in Canada, originating from a card linked to a known fraud ring in the U.S.",Gross
